Cipher,Count
TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA,1
TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,1
TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2
TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256,2
TLS_AES_128_GCM_SHA256,1
TLS_AES_256_GCM_SHA384,1
TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA,2
TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA,2
TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384,1
TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2
TLS_ECDHE_ECDSA_WITH_CHACHA20_POLY1305_SHA256,1
TLS_CHACHA20_POLY1305_SHA256,1
TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA,1
